element,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
C,4.83e-02,5.08e-02,5.42e-03,8.99e-03,1.66e-02,9.93e-03,5.08e-03
N,1.16e-06,4.46e-07,2.85e-04,2.70e-04,1.82e-04,9.09e-05,9.05e-05
O,1.43e-01,1.33e-01,8.82e-02,6.58e-02,5.58e-02,9.34e-02,5.83e-02
F,5.67e-10,1.37e-10,1.70e-09,4.50e-10,2.30e-10,5.83e-10,4.24e-10
Ne,4.52e-03,2.29e-03,1.45e-03,1.04e-03,1.28e-03,1.60e-03,8.18e-04
Na,6.32e-05,1.41e-05,8.77e-05,2.61e-05,3.01e-05,5.10e-05,3.50e-05
Mg,8.57e-03,1.58e-02,7.69e-03,4.52e-03,2.66e-03,7.82e-03,4.26e-03
Al,9.86e-04,1.13e-04,4.38e-04,2.47e-04,1.41e-04,4.45e-04,2.35e-04
Si,1.57e-01,1.42e-01,2.74e-01,2.07e-01,1.59e-01,2.79e-01,1.99e-01
P,3.57e-04,9.12e-05,2.38e-04,1.60e-04,1.07e-04,2.40e-04,1.52e-04
S,8.70e-02,9.15e-02,1.63e-01,1.24e-01,9.53e-02,1.66e-01,1.19e-01
Cl,1.74e-04,1.62e-05,1.22e-04,9.33e-05,7.04e-05,1.19e-04,8.67e-05
Ar,1.57e-02,1.91e-02,3.23e-02,2.51e-02,1.94e-02,3.30e-02,2.43e-02
K,7.84e-05,2.15e-06,7.30e-05,6.12e-05,4.88e-05,6.91e-05,5.76e-05
Ca,1.19e-02,1.81e-02,3.10e-02,2.44e-02,1.89e-02,3.18e-02,2.39e-02
Sc,2.21e-07,3.85e-08,2.49e-07,2.09e-07,1.76e-07,2.47e-07,2.02e-07
Ti,3.43e-04,4.21e-04,1.13e-03,1.02e-03,9.21e-04,8.18e-04,7.47e-04
V,7.49e-05,4.27e-05,1.33e-04,1.16e-04,1.02e-04,1.11e-04,1.09e-04
Cr,8.48e-03,9.27e-03,2.05e-02,1.70e-02,1.44e-02,1.88e-02,1.65e-02
Mn,8.87e-03,6.66e-03,8.48e-03,7.05e-03,6.16e-03,8.10e-03,6.77e-03
Fe,7.49e-01,7.75e-01,6.72e-01,7.92e-01,8.70e-01,6.48e-01,8.34e-01
Co,1.04e-03,9.68e-04,3.95e-04,6.25e-04,7.75e-04,2.91e-04,6.35e-04
Ni,1.26e-01,1.00e-01,3.82e-02,5.87e-02,7.27e-02,3.50e-02,6.18e-02
Cu,3.00e-06,3.83e-06,3.48e-06,6.92e-06,9.30e-06,7.28e-07,6.02e-06
Zn,2.82e-05,7.64e-05,2.60e-05,9.59e-05,1.62e-04,4.71e-06,1.01e-04
